title,description
"Trump Fits The ‘Definition Of Fascist’ And Said ‘Hitler Did Some Good Things’, John Kelly Says","John Kelly, who served as the White House chief of staff during Donald Trump’s presidency, claimed in a series of New York Times audio interviews that the former presi..."
Pennsylvania 2024 Trump-Harris Polls: Harris Leads Crucial Swing State In Latest Survey,Pennsylvania has voted for 10 of the last 12 White House winners.
"Prime Video’s ‘The Boys’ Mocks Trump’s McDonald’s Stint With Homelander, Its Trump-Like Antagonist","The series’ creators have previously compared its antagonist, the narcissistic and dangerously ambitious superhero Homelander, to Trump."
Nevada 2024 Trump-Harris Polls: New Survey Is Neck-And-Neck—As Harris Struggles With Latinos,Nevada has voted for Democrats in every presidential election since 2008.
Pennsylvania 2024 Trump-Harris Polls: Harris Up Nearly 2 Points In Latest Survey,Pennsylvania has voted for 10 of the last 12 White House winners.
Wisconsin 2024 Trump-Harris Polls: Tied Race In New Swing State Survey,"Biden flipped Wisconsin in 2020, but it's expected to be close this year."
Donald Trump’s Net Worth Up $400 Million As Trump Media Shares Surge,Trump Media’s share price has more than doubled since reaching a record low in September.
U.K. Prime Minister Starmer Responds After Trump Campaign Accuses His Labour Party Of Election Interference,The Trump campaign on Tuesday filed a formal complaint with the Federal Election Commission over the involvement of U.K. Labour Party volunteers in Harris’s campaign.
Michigan 2024 Trump-Harris Polls: Harris Takes 3-Point Lead In Latest Polls,Biden flipped Michigan in the 2020 election.
"Harris Continued To Massively Outraise Trump In The First Half Of October, Filings Show",The major fundraising advantage meant Harris’ main campaign committee had more money on hand despite outspending Trump’s campaign in the first half of October.
"Kamala Harris Has More Billionaires Prominently Backing Her Than Trump—Buffett, Gates Weigh In (Updated)",The historically apolitical centibillionaires Warren Buffett and Bill Gates are taking different paths this election cycle.
Georgia 2024 Trump-Harris Polls: New Poll Shows Dead Heat—As GOP Aims To Reclaim State,Biden was the first Democratic presidential candidate to win Georgia since 1992.
'Trump Is Literally Hitler' Post On X Crossed The Line On Satire,"The line between news and satire has blurred so much that the latter has been shared on social media as fact, where it quickly spreads misinformation."
Arizona 2024 Trump-Harris Polls: Race Effectively Tied In New Swing State Survey,"President Joe Biden narrowly won the battleground state in 2020 over Trump, who sought to overturn election results in the state."
"Election 2024 Swing State Polls: Latest Surveys Show Trump Up In Nevada, Georgia (Update)","While Harris has a slight lead nationally, there's no clear leader in the seven swing states likely to decide the election."
"Wisconsin 2024 Trump-Harris Polls: It’s A Tied Race, Two New Surveys Show","Biden flipped Wisconsin in 2020, but it's expected to be close this year."
Harris Vs. Trump On The Economy: Trump’s Lead Shrinks In Latest Polls,"The economy is by far the top voter issue this election, outranking by other issues by almost twofold, according to an NYT poll."
Possible Trump Treasury Secretary John Paulson Walks Back Some Of Trump's Tariffs Talk,Paulson said he’s “willing to serve in any capacity” when asked if he would accept a role as treasury secretary.
Tech Billionaires Support Both Trump And Harris—How They Risk Alienating Their Employees And Customer Base,"With billionaires outspoken about their political support, a divide between these employers and their staff could potentially create tension in the workplace."
Arizona 2024 Trump-Harris Polls: Race Virtually Tied In 2 New Surveys,"President Joe Biden narrowly won the battleground state in 2020 over Trump, who sought to overturn election results in the state."
Trump Vows He’ll Fire Jack Smith ‘Within 2 Seconds’ If He Wins,The federal charges against Trump are widely expected to be dropped if the ex-president wins.
Musk’s Pro-Trump PAC Continues $1 Million Voter Giveaways Despite Reported DOJ Warning,The DOJ has reportedly warned Musk’s America PAC that its daily $1 million giveaways may violate federal election law.
Trump-Harris Odds And Betting Interest Soars As 2024 U.S. Presidential Election Nears,The watch and wager action is really heating up less than two week before the 2024 U.S. Presidential election on Nov. 5. Updated odds on Donald Trump and Kamala Harris and surging betting interest with information you can bet on.
Central Park 5 Sue Trump For Defamation After He Again Blamed Them For Crime During Presidential Debate,"Former President Donald Trump famously called for harsh penalties against the Central Park 5, the name given to a group of Black and Latino men wrongly imprisoned for an assault in 1989."
"Top Trump Campaign Official Shared Tweets Calling Jan. 6 An ‘Insurrection’ Stoked By Election Lies, Report Says","Trump’s campaign manager liked and shared posts that described the Jan. 6 riot as “violent” and an “insurrection,” CNN reports."
"Election 2024 Swing State Polls: Trump-Harris Race Virtually Tied In All 7 Battlegrounds, Latest Survey Shows (Updated)","While Harris has a slight lead nationally, there's no clear leader in the seven swing states likely to decide the election."
"Kamala Harris Has More Billionaires Prominently Backing Her Than Trump—Warren Buffett, Bill Gates Weigh In (Update)",The historically apolitical centibillionaires Warren Buffett and Bill Gates are taking different paths this election cycle.
"Trump Vs. Harris 2024 Polls: Tie In Final NYT/Siena Poll, As Race Narrows Weeks Before Election Day",Most polls indicate a tight race between Donald Trump and Kamala Harris.
"Kamala Harris Has More Billionaires Prominently Backing Her Than Trump—Steve Ballmer, Jamie Dimon Weigh In (Update)","You won't find endorsements from tech centibillionaires like Steve Ballmer, Jeff Bezos or Bill Gates, but many of the nation's richest have weighed in on the election."
Pennsylvania Is This Year’s Most Crucial Swing State—Here’s How Harris Or Trump Could Still Win Without It,The winner in Pennsylvania will most likely take the 2024 election—but either candidate could win without the Keystone State.
"Election 2024 Swing State Polls: Trump Leads Harris In North Carolina And Arizona, Tie In Georgia (Updated)","While Harris has a slight lead nationally, there's no clear leader in the seven swing states likely to decide the election."
"Kamala Harris Has More Billionaires Prominently Backing Her Than Trump—Microsoft’s Bill Gates, Steve Ballmer Weigh In (Update)","Bill Gates reportedly donated $50 million to a PAC backing Harris, a surprise move for the historically nonpartisan Microsoft cofounder."
Elon Musk Shares Made-Up Headline That Compares Trump To Hitler—And It's Not The First Time,"Billionaire Elon Musk shared a fake news headline purporting to show a nonexistent article from The Atlantic titled ""Trump Is Literally Hitler"" to his nearly 200 milli..."
"Treasury Yields Rise To 3-Month High As Concerns Mount About National Debt Under Harris, Trump Policies","Harris and Trump are suggesting tax cuts and federal programs which require major spending “like Mardi Gras beads,” quipped a billionaire investor."
Trump Makes Tacit Bid For Arab American Votes As He Attacks ‘Crazed Warhawk’ Liz Cheney For Backing Harris,Trump’s attack on Cheney came after the former GOP congresswoman joined Harris on the campaign trail on Monday in an attempt to gain support from anti-Trump Republicans.
Trump to headline event targeting Asian American voters in Nevada,"As part of his efforts leading up to Election Day, on Thursday former President Donald Trump will be addressing the AAPI community at a Nevada event with Vivek Ramaswami and Tulsi Gabbard"
Stacey Williams goes public with her allegations against Donald Trump,"Thirty-one years after Stacey Williams says she was groped by Donald Trump while Jeffrey Epstein watched, the 56-year-old writer, consultant and former Sports Illustrated swimsuit model went public this week with her allegation."
Trump accuses Britain's ruling Labour Party of election interference,Former President Donald Trump accused Keir Starmer's British Labour Party of illegally assisting Vice President Kamala Harris ahead of the election Nov. 5.
Trump continues false claims about FEMA response in North Carolina,"Latest news and live updates on the 2024 campaign as Donald Trump heads to North Carolina and Kamala Harris visits Pennsylvania, Wisconsin and Michigan."
Trump and Harris hold dueling events in Texas,The latest news and live updates on the 2024 election. Follow Donald Trump and Kamala Harris in Texas and Barack Obama and JD Vance in North Carolina.
Trump holds Latino leaders roundtable,Former President Donald Trump courted Latino voters in Florida during a roundtable conversation where he discussed union voters and his plans to expand the U.S. economy. CBS News' Nikole Killion has more.
"Harris says she thinks Trump is a fascist, Trump supporters brushing off claims from John Kelly","Vice President Kamala Harris told a CNN town hall Wednesday night that she thinks former President Donald Trump is a fascist and that ""the people who know him best on the subject should be trusted."" Harris' comments come after Trump's former chief of staff, J…"
Former Trump White House staffers back John Kelly on his warning about Trump,Thirteen more members of the Trump administration penned an open letter backing up former White House chief of staff John Kelly's assertion that Trump fits the definition of a fascist.
Former Trump chief of staff John Kelly says Trump would govern like dictator if elected again,"John Kelly, who served as chief of staff in Donald Trump's White House from 2017 to 2019, told the New York Times that he believes Trump would act like a dictator if elected to the Oval Office again. It was one of many damning claims Kelly made about Trump in…"
Trump repeats FEMA Helene relief disinformation,"Former President Donald Trump is touring areas in North Carolina where Hurricane Helene hammered entire communities. During his tour, Trump repeated claims that federal aid for survivors is being mishandled. This comes as billionaire Elon Musk ups his efforts…"
Trump to appear on Joe Rogan's podcast,"Former President Donald Trump will join Joe Rogan on his podcast for an in-person taping in Austin, Texas, on Friday, a senior campaign adviser tells CBS News."
Could John Kelly's Trump warning sway voters?,"Between campaign events, Vice President Kamala Harris and former President Donald Trump are reacting to recent comments from Trump's longest-serving chief of staff, John Kelly. In an interview with The New York Times, Kelly said the former president ""certainl…"
Harris says ‘of course’ her team is prepared if Trump declares victory before votes are counted,"In an interview with NBC News’ Hallie Jackson on Tuesday, Vice President Kamala Harris said she's preparing for the possibility that former President Donald Trump declares victory before the votes are counted in this next month's election."
Far-right congressman suggests N.C. legislature should consider handing electors to Trump on Election Day,Freedom Caucus chairman and Republican Rep. Andy Harris suggested that North Carolina's legislature should consider awarding its electoral votes to Trump before votes are done being counted.
Trump and allies spread false noncitizen voting claims and World Series preview: Morning Rundown,Donald Trump and his allies are spreading a new “big lie” ahead of Election Day.
Trump to appear on Joe Rogan's podcast in latest outreach to young male voters,"Former President Donald Trump will sit with Joe Rogan for a taping of his podcast in Austin, Texas, on Friday, according to two sources familiar with the planning."
"Trump invokes economy, public safety and 'China virus' during Asian American rally in Vegas","At his first campaign rally targeting the Asian American and Pacific Islander community this election cycle, former President Donald Trump took the stage Thursday evening in Las Vegas with a speech focused on the economy, public safety and immigration to a gr…"
'That wasn't a Democrat': Trump ally corrected on CNN as he complains about Trump attacks,An ally's attempt to defend Donald Trump after his onetime chief of staff alleged startling praise for Nazi dictator Adolf Hitler's generals was repeatedly shut down on CNN Wednesday morning. Trump's former strategic communications director Marc Lotter faced …
Harris has cash edge over Trump in latest fundraising numbers,Vice President Kamala Harris' campaign raised more than three times as much money as former President Donald Trump in September.
Trump makes vulgar comment about Arnold Palmer at Pennsylvania rally,"With a little over two weeks until Election Day, Former President Donald Trump began his final pitch to voters in Pennsylvania over the weekend with vulgar remarks about golf legend Arnold Palmer's anatomy. Meanwhile, Vice President Kamala Harris is touting a…"
"Harris, Cheney argue Trump will be dangerous to U.S.","Vice President Kamala Harris and former Rep. Liz Cheney, a Republican from Wyoming, are touring Pennsylvania, Michigan and Wisconsin where they are warning voters against reelecting former President Donald Trump. CBS News' Zak Hudak reports."
"The data behind where Harris, Trump make campaign stops","With 15 days until Election Day, where candidates go can be crucial to their chances of winning. CBS News executive director of elections and surveys Anthony Salvanto explains why Vice President Kamala Harris and former President Donald Trump are heading to c…"
Trump ramps up attacks as battle for undecided voters intensifies,"With Election Day just over two weeks away, the fight for every last undecided vote in battleground states is intensifying. Former President Donald Trump kicked off his closing arguments today, launching a two-day swing through North Carolina while ramping up…"
"Trump praised Nazi generals' loyalty to Hitler, The Atlantic claims","The Atlantic has new reporting claiming former President Donald Trump praised the control Hitler had over his military. He allegedly said: ""I need the kind of generals that Hitler had... people who were totally loyal to him, that follow orders."" New York Time…"
"Eye Opener: Harris, Trump ramp up events before Election Day","Ahead of Election Day, Vice President Kamala Harris and former President Donald Trump are ramping up their campaign events. Meanwhile, the New York Liberty win its first WNBA title. All that and all that matters in today's Eye Opener."
House task force says Pennsylvania Trump assassination attempt was preventable,"The bipartisan House task force investigating the Butler, Pennsylvania, assassination attempt against Donald Trump has released an interim report calling the incident preventable and detailing major security failures leading up to the shooting. CBS News congr…"
Trump insults Harris during roundtable with Latino voters,"Former President Donald Trump used his time on the campaign trail Tuesday to attack Vice President Kamala Harris, lobbing personal insults at his opponent during a roundtable in Florida with Latino voters. CBS News' Fin Gómez and Libby Cathey have more."
"Trump repeats false claims of ""rampant cheating"" in 2020 election","Former President Donald Trump made new threats Friday to hold people accountable for what he calls ""rampant cheating"" in the 2020 election. There is no evidence of widespread fraud during 2020, but that isn't stopping Trump and his allies from raising concern…"
"Here's why Harris, Trump are campaigning in Texas","Vice President Kamala Harris and former President Donald Trump are both taping viral podcasts while in Texas, a solidly red state where each candidate will discuss issues that resonate with their bases. CBS News' Nancy Cordes and Libby Cathey report."
"Harris and Beyoncé in Texas, Trump joining Rogan podcast","Vice President Kamala Harris and former President Donald Trump will both be in Texas campaigning Friday. Harris will rally Houston voters with Beyoncé. CBS News' Scott MacFarlane has more on her expected remarks. Also, Trump will be in Austin to discuss immig…"
Trump says he'll fire special counsel Jack Smith if elected,"Former President Donald Trump told a conservative radio host that if elected, he would immediately fire special counsel Jack Smith, who is prosecuting Trump's efforts to overturn the 2020 election and his holding of classified documents."
Trump pledges to fire special counsel Jack Smith,"In an interview Thursday, former President Donald Trump said that if he wins the election, he plans to immediately fire special counsel Jack Smith, the man who is overseeing two key criminal investigations against Trump, including the 2020 election interferen…"
"Harris taping interviews, Trump holding roundtable and rally","With exactly two weeks until Election Day, Vice President Kamala Harris is in Washington, D.C., for multiple one-on-one interviews with media outlets. Meanwhile, former President Donald Trump is holding events in North Carolina and Florida. CBS News' Nancy Co…"
Yelp disables reviews for the McDonald's location visited by Trump,"Yelp said it disabled comments after a rash of politicized reviews for the Feasterville, PA-based McDonald's visited by Donald Trump."
"Trump, Vance potential targets in broad China-backed hacking operation","Federal authorities believe China-backed cybercriminals may have tried to tap into phones or networks used by Trump and Vance, multiple sources familiar with the matter confirmed."
"Harris and Béyonce in Texas, Trump joining Rogan podcast","Vice President Kamala Harris and former President Donald Trump will both be in Texas campaigning Friday. Harris will rally Houston voters with Beyoncé. CBS News' Scott MacFarlane has more on her expected remarks. Also, Trump will be in Austin to discuss immig…"
"House panel finds Trump assassination event ""preventable"" in interim report","The House task force investigating the shooting said in the report that there were ""stunning security failures"" leading up to the shooting."
Central Park Five members file defamation lawsuit against Trump,The so-called Central Park Five were exonerated and their convictions tossed out in 2002.
"How Harris, Trump messaging is playing to voters","Vice President Kamala Harris has made former President Donald Trump's recent rhetoric, in which he has painted his political rivals as threats to the U.S., a focus of her campaign message. Major Garrett looks at whether that is resonating with voters."
"China-backed hackers targeted Trump, Vance, sources say","Federal authorities believe China-backed cyber criminals attempted to tap into phones or networks used by former President Donald Trump and Sen. JD Vance, multiple sources familiar with the matter confirmed to CBS News. Scott MacFarlane has more."
Breaking down the House panel report on Trump rally shooting,"A bipartisan House task force investigating the July 13 assassination attempt on former President Donald Trump said the event was ""preventable."" That's according to a preliminary, 53-page report detailing the shortcomings of the Secret Service and law enforce…"
Unpacking John Kelly's warning about a second Trump term,"John Kelly, who served as White House chief of staff under former President Donald Trump, told The New York Times in a new interview that Trump is ""certainly an authoritarian"" who ""falls into the general definition of a fascist."" Ray Mabus, former secretary o…"
Trump campaign slams John Kelly after New York Times interview,"Vice President Kamala Harris and former President Donald Trump spent Wednesday courting voters in Pennsylvania and Georgia, respectively. However, permeating their campaigns is a New York Times interview wherein John Kelly, Trump's former White House chief of…"
Trump holds townhall with Latino voters in Florida,"Former President Trump held a town hall with Latino voters at his Doral golf club in Florida on Tuesday. While he criticized the conditions at the U.S.-Mexico border, his rhetoric toward undocumented immigrants was much less harsh than his usual comments on t…"
Here's where Donald Trump and Kamala Harris stand on guns,Guns have long been a polarizing issue in America — here's where Trump and Harris stand on the issue.
"Harris chats with Cheney, Trump tours North Carolina Helene damage","Vice President Kamala Harris kicked off a set of appearances with former GOP Rep. Liz Cheney in Pennsylvania, Michigan and Wisconsin to court moderate voters in those key battleground states. Meanwhile, former President Donald Trump is in North Carolina, anot…"
"A look at the state of the Trump, Harris campaigns","With 12 days to go until Election Day, Robert Costa takes a big-picture view of the presidential race and what the Trump and Harris campaigns are prioritizing."
Will Harris' Trump fascist comments resonate with undecided voters?,Vice President Kamala Harris is ramping up her attacks against former President Donald Trump as she courts voters from battleground states that may still be undecided. CBS News political director Fin Gómez has more.
"Harris, Trump in Texas with 11 days until Election Day","The presidential candidates are in the Lone Star State on Friday. Vice President Kamala Harris will team up with Beyoncé, while former President Donald Trump will sit down with Joe Rogan. CBS News' Zak Hudak and Fin Gómez have the latest on the state of the 2…"
Trump and Vance possible targets of China-backed cyber attack,It is reported the Republican candidates' phones may have been among the targets of a broader cyber attack.
Michael Cohen Sounds The Alarm On Trump With 'Dementia' Observation,The former personal attorney to Trump says he sees some alarming signs in the ex-president.
Trump accuses UK's Labour Party of 'foreign interference',"Labour activists volunteering in the US presidential election amounts to illegal ""contributions"", the complaint alleges."
Latest Trump Accuser Is Another Democrat Activist,"The latest Trump accuser, who chose to fully roll out her accusations two weeks before the presidential election, is actually a Democrat activist.
The post Latest Trump Accuser Is Another Democrat Activist appeared first on Breitbart."
Watch: Biden says ‘lock Trump up...politically’,The president made the comments during a Democratic Party headquarters visit in New Hampshire on Tuesday.
Why some CEOs are afraid of publicly criticizing Trump,"As it turns out, politics may just be bad for business, and CEOs are likely concerned about alienating customers and employees."
Trump has made gains with Latino men — why they're voting red and how Harris is addressing it,"A growing number of Latino men say they will vote Republican in this election cycle, compared with 2020, according to a September NBC News poll."
"Watch Live: Donald Trump Holds Rally in Greenville, North Carolina","Former President Donald Trump speaks to supporters at a rally in Greenville, North Carolina, on Monday, October 21.
The post Watch Live: Donald Trump Holds Rally in Greenville, North Carolina appeared first on Breitbart."
Democrats Target McDonald's for Price Gouging After Trump Served Customers,"Senate Democrats attacked McDonald's on Tuesday for price gouging while it continues to ""grow"" profits and serve the needs of customers. 
The post Democrats Target McDonald’s for Price Gouging After Trump Served Customers  appeared first on Breitbart."
Biden Embraces Trump Lawfare: 'We Gotta Lock Him Up',"President Joe Biden let the veil slip during a Thursday stop in New Hampshire.
The post Biden Embraces Trump Lawfare: ‘We Gotta Lock Him Up’ appeared first on Breitbart."
Donald Trump: Unlike Kamala 'We Embrace Followers of Jesus',"The Trump campaign embraces followers of Jesus, former President Donald Trump made clear this week after Vice President Kamala Harris seemingly mocked a man at a Wisconsin rally for shouting, ""Jesus is Lord!""
The post Donald Trump: Unlike Kamala ‘We Embrace F…"
"Blue State Blues: For Trump, 2024 Is the Ultimate Redemption","Win or lose, Trump never should have had a chance. The fact that he has come this far is a redemption -- for him, and for the nation as well.
The post Blue State Blues: For Trump, 2024 Is the Ultimate Redemption appeared first on Breitbart."
"Tim Walz: Trump Pandered To, Disrespected McDonald's Workers","Democratic Vice Presidential nominee Gov. Tim Walz (D-MN) said Monday on ABC's ""The View"" that former President Donald Trump pandered and disrespected McDonald's workers with his appearance at a Pennsylvania McDonald's franchise.
The post Tim Walz: Trump Pand…"
Nolte: Politico Stops Hiding Desire to See Donald Trump Assassinated,"Nolte: Far-left Politico, a blog dedicated to disinformation and lies, is no longer hiding its desire to see former President Donald Trump assassinated.
The post Nolte: Politico Stops Hiding Desire to See Donald Trump Assassinated appeared first on Breitbart."
CNN's Tapper: Harris Focused on Trump More Than Her Policies,"CNN host Jake Tapper said Wednesday that during his network's coverage of a town hall with Democratic presidential nominee Kamala Harris, the Vice President talked about her opponent, former President Donald Trump, more than her own policies.
The post CNN’s T…"
Singer Joni Mitchell Screams 'F**k Trump' at Hollywood Bowl,"Singer and folk music icon Joni Mitchell took a vulgar swipe at former President Donald Trump at the Hollywood Bowl in Los Angeles.
The post Singer Joni Mitchell Screams ‘F**k Trump’ at Hollywood Bowl appeared first on Breitbart."
"Nolte: Poll Shows Trump +2 Nationally, +8 in Swing States","Trump has never polled better than he is polling right now.
The post Nolte: Poll Shows Trump +2 Nationally, +8 in Swing States appeared first on Breitbart."
"Poll: Trump Leads in Michigan and Wisconsin, Senate Races Tied","A poll shows Donald Trump leading Kamala Harris in Michigan and Wisconsin with the U.S. Senate races virtually tied.
The post Poll: Trump Leads in Michigan and Wisconsin, Senate Races Tied appeared first on Breitbart."
"Watch Live: Donald Trump Holds Latino Roundtable in Doral, Florida","Former President Donald Trump holds a roundtable discussion with Latino leaders on Tuesday, October 22, in Doral, Florida.
The post Watch Live: Donald Trump Holds Latino Roundtable in Doral, Florida appeared first on Breitbart."
NYT's Nate Cohn: Donald Trump Could Win Popular Vote,"Former President Donald Trump could win the popular vote, the New York Times's Nate Cohn wrote Friday, which would provid the former president with a mandate.
The post NYT’s Nate Cohn: Donald Trump Could Win Popular Vote appeared first on Breitbart."
"Brzezinski: Trump Is 'Killing Us,' Women Have Died Already","MSNBC's Morning Joe co-host Mika Brzezinski claimed Thursday on ""Morning Joe"" that President Donald Trump was ""killing"" women because his appointees for the Supreme Court helped overturn Roe v. Wade.
The post Brzezinski: Trump Is ‘Killing Us,’ Women Have Died…"
Trump sued over comments about notorious New York case,"The ""Central Park Five,"" five men who were falsely convicted of rape in a notorious 1989 New York case, launched a defamation lawsuit Monday against former US president Donald Trump.The lawsuit, filed in a federal court in Pennsylvania, accuses the Republican…"
Biden turns tables on Trump: 'Lock him up' — politically,"""Lock her up"" chants that became popular at former President Donald Trump's campaign rallies in 2016 got flipped around Tuesday by President Joe Biden, who told campaign workers in New Hampshire on Tuesday, ""We’ve got to lock him up"" then added after a brief …"
Ros Atkins on… Would Donald Trump accept defeat?,The BBC's analysis editor examines what happened in 2020 and how the Republican might react if he were to lose again.
Harris pledges 'different path' at site of Trump 6 January rally,The Democratic presidential candidate delivers her final message a week before election day.
Elon Musk boosts Trump at rally underscored by racist rhetoric as Beyoncé rallies behind Harris,"Elon Musk voiced his support for Donald Trump at a New York City rally, but the event was underscored by crude commentary from other speakers."
"One week out from the election, Jared Kushner and Ivanka Trump still say they're set on moving on from Trumpworld","""We're rooting for him — obviously, we're proud of him. But, you know, either way, our life will just continue to move forward,"" Kushner said of Trump."
Steve Schwarzman says Trump would be an 'efficient and effective' president this time — and Ken Griffin thinks he'll win,Blackstone CEO Steve Schwarzman and Citadel's Ken Griffin weighed in on the election during a panel at Saudi Arabia's Future Investment Initiative.
"Republicans are mobilizing expat votes for Trump in Israel, hoping to tip the scale in battleground states",Republicans in Israel are targeting the country's American expat community—the world's fourth-largest—hoping it tips the scale in a close election.
Elon Musk says at a New York Trump rally that he could save the country $2 trillion through a department of efficiency,"In a speech at Donald Trump's Sunday rally, Elon Musk said he could save the US trillions of tax dollars with an efficiency department."
Former Trump aide Steve Bannon released from jail,Bannon is expected to host his podcast - War Room - on Tuesday and hold a press  conference in New York City.
"Trump says NY rally was 'lovefest', brushing aside controversy","But the Republican distances himself from a comic who described Puerto Rico as ""an island of garbage”."
Michelle Obama makes fiery abortion pitch as Trump courts Muslim vote,"In an impassioned speech, Michelle Obama said the election was ""too close"" with 10 days left until election day."
I Told My Trump-Supporting Mom I'm Having A Biracial Baby. Here's What Happened.,"When I asked her exactly what the issue was, she simply replied, “We just didn’t do that in my day.”View Entire Post ›"
Geraldo Rivera's Scathing Tweet About That Comedian's Racist Comments At The Trump Rally Are Going Super Viral,"""Never thought I would agree with Geraldo Rivera.""View Entire Post ›"
Wilson hammers Trump to win Northern Ireland Open,Kyren Wilson claims his first Northern Ireland Open title by beating world number one Judd Trump 9-3 at the Waterfront Hall in Belfast.
Michigan 2024 Trump-Harris Polls: Trump Erases Harris’ Lead,Biden flipped Michigan in the 2020 election.
"Fitness app gives away location of Biden, Trump, world leaders...","Fitness app gives away location of Biden, Trump, world leaders...

 
 
 
 (Third column, 1st story, link)"
Biden's 'garbage' comment is a gift to Trump,The ex-president seized on a verbal gaffe from Biden as he continues to rally his supporters against Harris' 2024 candidacy.
Trump Media Is Now Worth More Than Elon Musk’s X After Stock Rallies to New Highs,"Trump Media & Technology Group, which operates the Truth Social social-media network, has seen its stock soar in the weeks leading up to the Nov. 5 presidential election — and it is currently worth more than Elon Musk’s X, the social-media company formerly kn…"
Trump-Appointed Judge Will Not Recuse Herself From Trump Assassination Attempt Case,Judge Aileen Cannon rejected Ryan Wesley Routh’s request that she recuse herself from the case to “preserve the appearance of impartiality.”
North Carolina 2024 Trump-Harris Polls: Trump Up By 2 Points In 2 New Surveys,Polls show Trump and Harris are in a virtual tie for North Carolina’s 16 electoral college votes.
Nevada 2024 Trump-Harris Polls: Trump Leads In Latest Survey—As Harris Struggles With Latinos,Nevada has voted for Democrats in every presidential election since 2008.
How the cost of housing is expected to change under Trump or Harris,"BI looked at how Harris and Trump's housing policies will affect supply, first-time homebuyers, and renters."
Trump Media extends rally to 280% as MSG event spurs meme-stock activity,Shares in the Truth Social parent company jumped as much as 22% on Monday after the former president's rally in Manhattan.
How Trump Built A Golf Empire With Secret Financing,Rumors of money laundering have circled Donald Trump’s golf business for years. Forbes uncovered the true source of the funds.
Trump And Harris Could Face Recounts In These Swing States,Polls suggest the two candidates’ vote counts could end up with razor-thin margins in battleground states.
"Trump Might Seem Scary, But Monetary Policy Is Political","Many people are worried that Trump might take an active role in the Fed's policies. The truth, though, is Fed independence has always been something of a myth."
Puerto Rican Billionaire Slams ‘Hurtful’ Comments At Trump MSG Rally,"Buyout tycoon José E. Feliciano speaks out against a Trump surrogate’s disparaging remarks about Puerto Rico, and urges his fellow Americans to vote."
Whoopi Goldberg Calls Out Joe Rogan’s ‘Fake News’ About ‘The View’ Once Loving Trump; 2011 Interview Shows Goldberg Slamming Trump’s ‘B.S.’ to His Face,Whoopi Goldberg put Joe Rogan in his place during an episode of “The View” in which the EGOT winner corrected Rogan’s false claims about one of Trump’s appearances on the ABC daytime talk show. Trump recently guested on Rogan’s Spotify podcast “The Joe Rogan …
‘Emilia Perez’ Stars Talk Push to Vote After Racist Jokes at Trump Rally: ‘I Definitely Want to Stand by My People’,"Following in the footsteps of Selena Gomez, who dropped her ballot off on the way to the premiere of “Wizards Beyond Waverly Place,” fellow “Emilia Perez” star Zoe Saldaña also cast her vote this week, the star shares while attending the Netflix co-hosted pre…"
Joe Rogan Says Trump Interview Faced ‘Issue’ With YouTube Search—Here’s What We Know,Rogan’s latest podcast episode interviewing Donald Trump faced technical difficulties early on. But now Rogan says it has a bigger issue.
Arizona 2024 Trump-Harris Polls: Race Virtually Tied In 3 New Surveys,"President Joe Biden narrowly won the battleground state in 2020 over Trump, who sought to overturn election results in the state."
Philadelphia DA Sues Elon Musk’s Pro-Trump PAC Over $1 Million Giveaway,America PAC has continued the giveaway even as the DOJ has warned it may violate federal law.
Donald Trump’s Net Worth Has Doubled In October To $8 Billion As Trump Media Stock Skyrockets,"Trump’s net worth has largely moved in sync with the stock performance from his media company, which is up more than 200% in October."
Biden Attempts To Clarify His ‘Garbage’ Comment As Republicans Say It Insults All Trump Supporters,"President Joe Biden on Tuesday appeared to describe Donald Trump’s supporters as ""garbage"" while denouncing a disparaging remark about Puerto Rico at former President’..."
Harris Accuses Trump Of Wanting ‘Unchecked Power’ As She Delivers Closing Message In Washington,Harris opened her speech from the Ellipse in Washington by bashing Trump for his role in the Jan. 6 Capitol riots and his promise to seek retribution against his political enemies.
Donald Trump Movie ‘The Apprentice’ New On Digital Streaming This Week,“The Apprentice”—a biopic about the rise of Donald Trump as a real estate mogul—is new on digital streaming this week. Find out when and where you can watch it at home.
Kamala Harris Has More Billionaires Prominently Backing Her Than Trump—Bezos And Griffin Weigh In (Updated),"""Even though I have plenty of disagreements with their platform...I am voting for Kamala Harris and Tim Walz,"" Schwarzenegger, the former Republican governor of California, wrote Wednesday."
Pennsylvania 2024 Trump-Harris Polls: Race Virtually Tied In 4 New Surveys Of Vital Battleground (Updated),Pennsylvania has voted for 10 of the last 12 White House winners.
Here’s How Much Money Trump Owes—And Who Stands To Collect,"The Republican nominee owes more money today than he ever did during his first presidency, according to a Forbes analysis."
President Trump Appearing On The Joe Rogan Podcast Is Blowing Up On X,President Trump’s appearance on the Joe Rogan Experience podcast has 27 million views on YouTube and growing. Will it impact the election next week?
Joe Rogan’s Interview With Donald Trump: Here Are The Key Moments,"It’s the latest interview from Trump on male-leaning podcasts, including those hosted by comedian Andrew Schulz, Kick streamer Adin Ross and wrestler Mark Calaway, also known as “The Undertaker.”"
"A More Aggressive Trump Tariff Would Lower Incomes By Nearly $3,000","Trump’s plan would lower average after-tax household incomes by 2.9 percent, or nearly $3,000. It would boost tax revenue by about $4.5 trillion over 10 years."
