title,description,coding,sentiment
Harris reacts to Trump comments about protecting women,"Vice President Kamala Harris weighed in on former President Donald Trump's comments about protecting women whether they ""like it or not."" This comes as both campaigns target younger voters. CBS News political director Fin Gómez reports.",oppositions,neutral
Cheney slams 'tyrant' Trump for violent rhetoric,"Prominent Republican and vocal Donald Trump critic Liz Cheney called the former president a ""vindictive, cruel"" dictator on Friday after he suggested she would be less of a ""war hawk"" with guns trained on her face.""This is how dictators destroy free nations. …",oppositions,negative
"Trump States He’ll Let RFK Jr. ‘Go Wild’ On Health, Food, Medicines","Donald Trump, the Republican nominee for President, may let Robert F. Kennedy Jr., choose the next leaders of the NIH, CDC, and FDA and ""go wild"" on health and food.",policy,neutral
Trump Suggests Handing The Government’s Health Reins Over To RFK Jr.,Known for espousing vaccine conspiracy theories Robert F. Kennedy Jr. says that Trump has promised him “control” over public health agencies in America.,policy,neutral
"Watch Live: Donald Trump Holds Rally in Raleigh, North Carolina","Former President Donald Trump speaks to supporters in Raleigh, North Carolina, on Monday, November 4, the last day before the election.
The post Watch Live: Donald Trump Holds Rally in Raleigh, North Carolina appeared first on Breitbart.",campaign,neutral
"Watch Live: Donald Trump Holds Rally in Gastonia, North Carolina","Former President Donald Trump speaks to supporters at a rally in Gastonia, North Carolina, on Saturday, November 2.
The post Watch Live: Donald Trump Holds Rally in Gastonia, North Carolina appeared first on Breitbart.",campaign,neutral
Daughter of NFL Legend Endorses Trump: 'I Opened My Eyes',"The daughter of legendary NFL Hall of Famer Jim Brown has endorsed former President Trump, citing his support for the black community during his first term in office.
The post Daughter of NFL Legend Endorses Trump: ‘I Opened My Eyes’ appeared first on Breitba…",endorsements,positive
"Watch Live: Donald Trump Holds Rally in Greensboro, North Carolina","Former President Donald Trump speaks to supporters at a rally in Greensboro, North Carolina, on Saturday, November 2.
The post Watch Live: Donald Trump Holds Rally in Greensboro, North Carolina appeared first on Breitbart.",campaign,neutral
"Watch Live: Donald Trump Holds Rally in Lititz, Pennsylvania","Former President Donald Trump speaks to supporters at a rally in Lititz, Pennsylvania, on Sunday, November 3.
The post Watch Live: Donald Trump Holds Rally in Lititz, Pennsylvania appeared first on Breitbart.",campaign,neutral
"Watch Live: Donald Trump Holds Rally in Albuquerque, New Mexico","Former President Donald Trump speaks to supporters at a rally in Albuquerque, New Mexico, on Thursday, October 31.
The post Watch Live: Donald Trump Holds Rally in Albuquerque, New Mexico appeared first on Breitbart.",campaign,neutral
"China Claims Trump Could ‘Discard’ Taiwan, Ignoring Pro-Taiwan Record","Zhu Fenglian, a spokeswoman for China’s Taiwan Affairs Office, said on Wednesday that Taiwan could be “discarded” if Donald Trump returns to the White House and implements his America First foreign policy.
The post China Claims Trump Could ‘Discard’ Taiwan, I…",policy,neutral
"Watch Live: Donald Trump Holds Rally in Henderson, Nevada","Former President Donald Trump speaks to supporters at a rally in Henderson, Nevada, on Thursday, October 31.
The post Watch Live: Donald Trump Holds Rally in Henderson, Nevada appeared first on Breitbart.",campaign,neutral
"Watch Live: Donald Trump Holds Rally in Milwaukee, Wisconsin","Former President Donald Trump speaks to supporters at a rally in Milwaukee, Wisconsin, on Friday, November 1.
The post Watch Live: Donald Trump Holds Rally in Milwaukee, Wisconsin appeared first on Breitbart.",campaign,neutral
Liberal Icon Naomi Wolf Endorses Trump: 'He's Being More Inclusive',"Liberal icon and feminist author Naomi Wolf endorsed former President Donald Trump, highlighting how he was ""being more inclusive.""
The post Liberal Icon Naomi Wolf Endorses Trump: ‘He’s Being More Inclusive’ appeared first on Breitbart.",endorsements,positive
"Mark Cuban: You Never See Trump 'Around Strong, Intelligent Women'","Billionaire investor Mark Cuban claimed Thursday on ABC's ""The View"" that you never see former President Donald Trump around ""strong, intelligent women.""
The post Mark Cuban: You Never See Trump ‘Around Strong, Intelligent Women’ appeared first on Breitbart.",oppositions,neutral
"Watch Live: Donald Trump Holds Rally in Salem, Virginia","Former President Donald Trump speaks to supporters at a rally in Salem, Virginia, on Saturday, November 2.
The post Watch Live: Donald Trump Holds Rally in Salem, Virginia appeared first on Breitbart.",campaign,neutral
"WATCH: Trump Gets Warm Welcome in Majority-Arab Dearborn, Michigan","Former President Donald Trump became the first major party presidential candidate to visit Dearborn, Michigan, on Friday, venturing into the majority-Arab and predominantly Muslim town, which had once been hostile territory.
The post WATCH: Trump Gets Warm We…",campaign,neutral
Report: Amish Possible Key Demographic in Trump Winning Pennsylvania,"Amish voters in the upcoming presidential election may be an important demographic in former President Donald Trump winning Pennsylvania.
The post Report: Amish Possible Key Demographic in Trump Winning Pennsylvania appeared first on Breitbart.",polls,positive
Pennsylvania Poll: Trump Up 5 in the Crucial Swing State,"Former President Donald Trump is up in Pennsylvania by five percentage points, according to an Echelon Insights survey released just days ahead of the pivotal 2024 presidential election.
The post Pennsylvania Poll: Trump Up 5 in the Crucial Swing State appear…",polls,neutral
Trump: Kamala Harris's Hurricane Helene 'Response Was a Disgrace',"Former President Donald Trump criticized Vice President Kamala Harris for the Biden-Harris administration's response to Hurricane Helene, noting that it ""was a disgrace.""
The post Trump: Kamala Harris’s Hurricane Helene ‘Response Was a Disgrace’ appeared firs…",statements,negative
Pollster Mark Penn: I’d Rather Be Trump Right Now,"Former adviser and pollster for President Clinton Mark Penn said Sunday on FNC's ""Special Report"" that at this point in the election, he would rather be on the side of former President Donald Trump's team.
The post Pollster Mark Penn: I’d Rather Be Trump Righ…",polls,neutral
Due to Donald Trump': MSNBC's Mika cries during harrowing interview,"""Morning Joe"" co-host Mika Brzezinski brushed away tears Friday morning as a Georgia mother told how Donald Trump's actions as president pushed her to the brink of death upon the loss of a ""very wanted"" child. Avery Davis Bell appeared on MSNBC Friday morning…",oppositions,neutral
Anti-Trump monument pops up commemorating Stormy Daniels' unflattering description,Another statue has popped up to commemorate a major moment in Donald Trump's history: his alleged tryst with adult film star and director Stormy Daniels. Huffington Post's Jen Bendery has been following the statues as the civic crafting group erects them arou…,oppositions,neutral
Musk's millions: Five ways the world's richest man helps Trump,"In an extraordinary twist that has upended an already unpredictable election, the world's richest man has become Donald Trump's most influential supporter in his bid to return to the White House.Here are five ways Elon Musk is wielding his outsized influence …",endorsements,positive
Republicans blasted for 'strategically' using suspect polls to boost Trump,"According to a report from the New York Times, a combination of polling from sketchy organizations along with reports on overseas betting markets favoring the GOP ticket are being used to keep up the spirits of Donald Trump's supporters with the election just…",nt,neutral
Tim Walz wins cheers by using Trump phrase against him,"Minnesota Gov. Tim Walz on Thursday threw former President Donald Trump's words back in his face during a campaign stop in Bucks County, Pennsylvania.

While speaking with voters in the crucial Pennsylvania swing county, Walz made a reference to Trump's state…",oppositions,negative
Six Trump voters on why they’re backing him in 2024,His messaging on big issues like the economy and immigration strike a chord - some of his supporters explain why.,endorsements,positive
Trump courts divided Arab-American voters in must-win Michigan,Arab-American voters in the must-win state of Michigan could determine the close race.,polls,neutral
Trump 'fired up' about euthanasia of Peanut the squirrel,"Peanut, a pet squirrel, is being held up by conservatives as a martyr of government overreach.",statements,negative
Election 2024 live updates as Trump vs. Harris polls show tie just 5 days out,"Former President Donald Trump tried to seize on the ""garbage"" comments at a truck in Wisconsin while Vice President Harris will have a campaign event with J.Lo in Las Vegas.",polls,neutral
"Live updates as Trump, Harris blitz battleground states on final day of campaign",The presidential race between Vice President Kamala Harris and former President Donald Trump is down to its final hours before Election Day 2024.,polls,neutral
Eye Opener: Trump closing statement includes more violent rhetoric and personal grudges,"At a rally in Pennsylvania on Sunday, former President Donald Trump told supporters that he ""shouldn't have left"" office in 2020 and described Democrats as ""demonic."" Also, music legend Quincy Jones has died at 91. All that and all that matters in today's Eye…",statements,negative
Election 2024 live updates amid tight Harris-Trump polls in final campaign stretch,"Follow live as Vice President Kamala Harris and former President Donald Trump enter the final weekend of the campaign in the 2024 election, as polls remain tight.",polls,neutral
"What Harris, Trump are doing in the West right before Election Day",Vice President Kamala Harris and former President Donald Trump are visiting the West just days before the Nov. 5 Election Day. CBS News political reporter Zak Hudak has more on the upcoming campaign moves.,campaign,neutral
"Trump says ""shame on you"" to people who voted against him","Former President Donald Trump said ""if you voted against me shame on you"" at a New Mexico rally on Thursday after criticizing President Biden's ""garbage"" comment. CBS News political reporter Zak Hudak and CBS News national correspondent Kris Van Cleave follow…",statements,negative
How Trump and Harris' stances and policy plans on marijuana legalization compare,Both Vice President Kamala Harris and former President Donald Trump have offered their views on legalizing weed.,policy,neutral
"Trump says he will ""protect women"" whether they ""like it or not""","While campaigning in Green Bay, Wisconsin, on Wednesday, former President Donald Trump told a crowd that ""whether the women like it or not, I'm going to protect them.'"" Vice President Kamala Harris called the remarks ""offensive to women."" Nikole Killion repor…",statements,neutral
"Kamala Harris reacts to Trump saying he'll protect women ""whether the women like it or not""","Vice President Kamala Harris spoke to reporters in Wisconsin Thursday about former President Donald Trump's comments that he would protect women ""whether the women like it or not."" Harris said the remark speaks to how Trump thinks about women and their agency…",oppositions,neutral
"Trump rips Biden for ""garbage"" comment, Harris still trying to appeal to moderates and youth","Former President Donald Trump is seizing on President Biden's comments where he appeared to call Trump supporters ""garbage,"" though the White House says the president was referring specifically to the rhetoric of the comedian who disparaged Puerto Rico during…",statements,neutral
"Trump on Cheney: See how she feels ""when the guns are trained on her face""",Former President Donald Trump went after former GOP Rep. Liz Cheney of Wyoming during a campaign event with conservative personality Tucker Carlson.,statements,neutral
"Harris campaign pounces on Trump rally "" garbage"" remarks in push for Latino vote",Harris' campaign believes that rhetoric is helping boost Harris with late-breaking battleground voters — by double digits.,oppositions,positive
Johnson says Harris is lying over his Affordable Care Act plans if Trump wins,House Speaker Mike Johnson is rebuking Vice President Kamala Harris' comments about the future of the Affordable Care Act if former President Donald Trump becomes president again. CBS News' Nikole Killion reports.,nt,neutral
"Harris leans on star power, Trump targets Cheney on Carlson interview","Actress Jeniffer Lopez and Mexican rock band Maná joined Vice President Kamala Harris at a campaign rally in Las Vegas, Nevada, Thursday, the same day former President Donald Trump attacked former Rep. Liz Cheney, a Harris campaign surrogate, during a live in…",statements,neutral
Raffensperger assures Georgia that voting systems are secure amid Trump campaign's lawsuit,A Georgia judge rejected a lawsuit trying to block opening some election offices over the weekend to let voters hand in their mail ballots in person. CBS News' Nikole Killion has more on the judge's decision and the latest on Georgia early voting efforts.,oppositions,neutral
"Both Trump and Harris spending plans are concerning in a ""big way,"" Mohamed El-Erian says","Mohamed El-Erian, the Allianz chief economic adviser, tells ""Face the Nation with Margaret Brennan,"" that both former President Donald Trump and Vice President Kamala Harris' economic proposals are concerning ""in a big way"" since they do not include any plan …",policy,neutral
"Trump says ""I don't mind"" if someone had to shoot through media",Former President Donald Trump told rally goers in Pennsylvania that he wouldn't mind if a potential assassination attempt went through the media risers.,statements,neutral
"Trump, Harris make play for North Carolina, polls show tight race in the Tar Heel State","Vice President Kamala Harris and former President Donald Trump are making last-minute stops in North Carolina. Though the state has not voted for a Democratic presidential candidate since 2008, the Harris team believes it is still in play while the Trump camp…",polls,neutral
"How turnout and persuasion could play out for Trump, Harris in battlegrounds",We explore how turnout and persuasion scenarios could play out in the critical states for Trump and Harris in the final weekend leading up to the 2024 presidential election.,polls,neutral
"Trump climbs into garbage truck to mock Biden's ""garbage"" comment controversy","Former President Trump intensified his response to Biden's recent comments by climbing into a garbage truck and declaring, ""250 million Americans are not garbage"" as he campaigned in Wisconsin.",statements,neutral
Trump looks to gain support from Latino voters while campaigning in Southwest,Former President Donald Trump campaigned in Arizona Thursday where he repeated false claims about Democrats in 2020. He also criticized Vice President Kamala Harris on immigration and the economy.,campaign,negative
"Eye Opener: Trump, Harris focus on Latino voters in the final days before the election","In the final days before Election Day, Jennifer Lopez is the latest star to stump for Kamala Harris as both presidential candidates reach out to Latino voters. Also, a Danish company is making big profits on weight loss drugs such as Ozempic. All that and all…",campaign,positive
"How infrequent voters, GOP defectors could tip the battlegrounds for Trump, Harris","CBS News director of elections and surveys Anthony Salvanto joins ""Face the Nation with Margaret Brennan"" to discuss the latest 2024 Battleground Tracker, which shows how voter turnout and persuasion scenarios could tip battleground states for former Presiden…",polls,neutral
Trump and Harris make final appeals in Georgia as polls show tight race,"As the presidential race tightens, former President Donald Trump and Vice President Kamala Harris campaign in Georgia, where our battleground tracker indicates a narrow lead for Trump. CBS News' Nikole Killion has more from Atlanta.",campaign,neutral
North Carolina race tightens as Trump holds narrow lead over Harris,"With the battleground tracker showing a slim lead for former President Donald Trump, the race in North Carolina remains too close to call. CBS News' Skyler Henry reports from North Carolina, where voters weigh in on the candidates.",polls,neutral
"Harris, Trump focus on battleground Georgia as polls show statistical tie in presidential race","Former President Donald Trump made his final stop in Georgia on Sunday night, while Vice President Kamala Harris and Gov. Tim Walz made separate stops in the Peach State over the weekend. President Biden flipped the battleground state in 2020, winning it by f…",campaign,neutral
"Trump calls for 25% tariff for Mexico goods over illegal immigration, border security",Former President Donald Trump threatened a tariff on Mexican goods over the flow of drugs and illegal immigration at the U.S.-Mexico border. Trump's remarks in North Carolina occurred just hours before Election Day. Semafor's David Weigel joins CBS News with …,policy,neutral
God willing': Internal Team Trump email reveals 'unusual' pessimism,"Former President Donald Trump's campaign has got the we're-gonna-lose blues, a new report reveals. An ""unusual"" tone of pessimism appeared Friday in an internal email to Trump Team staffers as they dealt with their candidate's suggestion former Rep. Liz Chene…",polls,negative
Trump booster quits Washington Post after livestream meltdown,"Hugh Hewitt has quit the Washington Post, but his storming off has nothing to do with the paper's decision to withhold presidential endorsements. In an exclusive report, the New York Post revealed that Hewitt was live on air with colleagues Jonathan Capehart …",nt,neutral
Central Park Five sue Trump for defamation over debate claims,"The now-exonerated men allege Trump spoke falsely of their case with ""reckless disregard"".",oppositions,negative
McDonald's is the latest election battleground for Trump and Harris,"Presidential candidates have often invoked McDonald's during their runs for the White House, both as a place to eat and as a place to work.",campaign,neutral
John Kelly says Trump told him more than once that Hitler 'did some good things',"Trump's former chief of staff John Kelly confirmed previous reports that Trump told him Hitler ""did some good things,"" The New York Times reported.",oppositions,neutral
Arthur Blank joins 'Business Leaders for Harris' as his former business partner funnels money to Trump,"Blank is joining an initiative to woo more conservative, business-minded voters. Mark Cuban and Reid Hoffman are among industry titans also involved.",oppositions,neutral
Elon Musk is going 'founder mode' in his bid to get Donald Trump elected,Elon Musk's approach to helping Donald Trump get elected is similar to how the Tesla CEO runs businesses. It's not clear in this case if it'll work.,endorsements,negative
"Trump scores a Joe Rogan interview for the first time, with an eye on male voters",Joe Rogan's interview with Donald Trump would be the former president's latest appearance on a podcast that attracts young men.,campaign,positive
Elon Musk has spent more than $130 million on Trump and the GOP this year,"After pouring an additional $43.6 million into his pro-Trump super PAC, Elon Musk is now the ex-president's second largest financial backer.",endorsements,neutral
Zelenskyy's new T-shirt riffs on Trump — and annoyed the Kremlin,"Zelenskyy ditched his iconic green T-shirt to send a pointed message to Russia on Wednesday, gaining an ascerbic response from the Kremlin.",nt,neutral
Flight logs show Elon Musk's private jets are busy hitting swing states as he campaigns for Trump,Elon Musk's private planes made eight flights to and from Pennsylvania this past week.,campaign,neutral
The vulnerable GOP congressman convinced that economic interest voters will save him from the Trump and abortion backlash,"In Scottsdale, Rep. David Schweikert hopes an old-school GOP approach can help him hold onto a House district that's increasingly turning blue.",nt,neutral
Legendary investor Paul Tudor Jones says he's buying gold and bitcoin pre-election because inflation will rise under both Trump and Harris,"""The playbook to get out of this is that you inflate your way out,"" Jones said about America's ballooning national debt.",policy,negative
Her billionaire marriage broke up. Her VP campaign fizzled. Now she’s a Trump-world star.,"During his recent live tour, Tucker Carlson welcomed a stable of MAGA warhorses to the stage: activist Charlie Kirk in Wichita, conspiracy theorist Alex...",nt,neutral
Why was Trump serving fries in McDonald’s?,The BBC's Lily Jamali explains the backstory behind the former president's campaign stunt.,campaign,neutral
"The election is still incredibly close with 2 weeks to go, with warning signs for both Trump and Harris in the Sun Belt",Harris and Trump are looking to firm up voters in their respective coalitions while also winning crossover support that could secure them victory.,polls,positive
Former Trump aides are asking for the Supreme Court’s help as their ex-boss eyes the White House,"As former President Donald Trump turns to the final days of his campaign for a second term in the White House, some of his ex-aides are trying to get into...",nt,neutral
Watch: Trump serves up McDonald’s fries and Harris celebrates birthday,The US presidential candidates continued to campaign across key swing states on Sunday.,campaign,neutral
Woman alleges Trump groped her in front of Jeffrey Epstein,Stacey Williams tells CNN the alleged incident happened after Epstein introduced her to Trump at his Manhattan skyscraper.,oppositions,neutral
Trump and Vance possible targets of China-backed cyber attack,It is reported the Republican candidates' phones may have been among the targets of a broader cyber attack.,wellbeing,negative
Will the Harris-Cheney show persuade anti-Trump Republicans?,The Democratic candidate targeted disaffected Republicans in three of the most contested states.,nt,neutral
Hillary Clinton says she’s not worried about Trump retaliation,Former Secretary of State Hillary Clinton said she’s not worried about former President Trump retaliating against her if he wins the 2024 presidential...,oppositions,neutral
Seth Meyers Was Shocked To Learn This Donald Trump Stunt Was Real,The Late Night comedian riffed on the overall fever-dream nature of the 2024 election.View Entire Post ›,oppositions,neutral
9 Celebrities Who Have Endorsed Donald Trump In The Past Month,From wrestlers to race car drivers.View Entire Post ›,endorsements,neutral
"And Just Like That, People Are Trolling Donald Trump With Negative Reviews On THAT McDonald's Yelp Page",Welp. I guess y'all won't be wanting fries with that.View Entire Post ›,nt,negative
"Donald Trump Just Shared An Odd Story About Arnold Palmer's Penis Size, And Jon Stewart Had A Surprising Reaction",The Daily Show host argued there's a bigger and more important issue at hand.View Entire Post ›,statements,neutral
"""It Raises Real Questions About Whether You Are Fit For The Toughest Job In The World"": Kamala Harris Trolled Donald Trump After He Apparently Canceled These 6 Interviews","""It raises real questions about whether you are fit for the toughest job in the world.""View Entire Post ›",oppositions,neutral
"A Fox News Host Seemingly Tried To Defend Trump Allegedly Saying He Wanted ""Generals Like Hitler Had,"" And It's Quite The Statement","""Coming from the business world...obviously [Trump] has frustration.""View Entire Post ›",endorsements,neutral
Trump shakes off Selt to reach NI Open third round,Four-time winner Judd Trump advances to the last 16 of the Northern Ireland Open with a 4-2 victory over Matthew Selt at the Waterfront Hall in Belfast.,nt,neutral
Trump reaches semi-finals of Northern Ireland Open,World number one Judd Trump books his place in the semi-finals of the Northern Ireland Open with a 5-1 win over Shaun Murphy.,nt,neutral
Trump Vs. Harris Fundraising Race: Harris Takes In $222 Million In September—Far Surpassing Trump,Harris' campaign and affiliated groups have already raised $1 billion since she entered the race.,polls,neutral
Who Is Polymarket’s Trump Whale? Site Reveals French Trader Bet $28 Million On Trump Win,The crypto-based Polymarket says it has not uncovered evidence of manipulation in the massive bets on a Trump win.,polls,neutral
Georgia 2024 Trump-Harris Polls: Trump Leads In Latest Survey—But Undecided Voters Could Tip Results,Biden was the first Democratic presidential candidate to win Georgia since 1992.,polls,positive
Arizona 2024 Trump-Harris Polls: Trump Up 3 Points In Latest Survey,"President Joe Biden narrowly won the battleground state in 2020 over Trump, who sought to overturn election results in the state.",polls,neutral
"Wisconsin 2024 Trump-Harris Polls: Trump Leads In Latest Survey, 2 Others Show A Tie","Biden flipped Wisconsin in 2020, but it's expected to be close this year.",polls,neutral
North Carolina 2024 Trump-Harris Polls: Trump Leads By 3 Points In Latest Survey,Polls show Trump and Harris are in a virtual tie for North Carolina’s 16 electoral college votes.,polls,neutral
Trump Vs. Harris 2024 Polls: Trump Up In New HarrisX/Forbes Survey—Harris Leads In Another,Most polls indicate a tight race between Donald Trump and Kamala Harris.,polls,neutral
North Carolina 2024 Trump-Harris Polls: Trump Leads By About 1 Point In New Survey,Polls show Trump and Harris are in a virtual tie for North Carolina’s 16 electoral college votes.,polls,neutral
Former Model Alleges Trump Groped Her During Trump Tower Visit With Jeffrey Epstein,The accusation was made during a Zoom event hosted by a coalition of sexual assault survivors backing Vice President Kamala Harris in the upcoming election.,oppositions,neutral
Harris Vs. Trump On The Economy: Trump Takes Lead In Latest Poll,"Trump has pulled ahead of Harris on economy polling, though Americans still opt for Harris on several hot-button economic issues.",polls,neutral
Pennsylvania 2024 Trump-Harris Polls: Trump Up 1 Point In Latest Survey,Pennsylvania has voted for 10 of the last 12 White House winners.,polls,neutral
Trump Vs. Harris Fundraising Race: Harris Outraised Trump 3-To-1 With Last Pre-Election Report,Harris' campaign and affiliated groups have raised $1 billion since she entered the race.,polls,neutral
Trump Invites ‘Nelk Boys’ Onto Plane In Election’s Closing Stretch—After Montage Of Pro-Trump Pranks,"A new video shows the extent of Trump’s relationship with content creators, the “Nelk Boys.”",statements,neutral
Trump Vs. Harris 2024 Polls: Trump Up In 3 New Surveys—Harris Leads In 2 Others,Most polls indicate a tight race between Donald Trump and Kamala Harris.,polls,neutral
Can Trump Take Tesla Stock To $0?,"Indeed this broad range reflects a simple fact: while Tesla has transformed the auto business, it is a volatile stock.",policy,neutral
Georgia 2024 Trump-Harris Polls: Harris Leads By 4 In Latest Survey—But Averages Show Trump Ahead,Biden was the first Democratic presidential candidate to win Georgia since 1992.,polls,positive
Georgia 2024 Trump-Harris Polls: Trump Has Narrow Lead In New Poll—As GOP Aims To Reclaim State,Biden was the first Democratic presidential candidate to win Georgia since 1992.,polls,positive
North Carolina 2024 Trump-Harris Polls: Trump Leads By About 1 Point In 2 New Surveys—A Near-Tie,Polls show Trump and Harris are in a virtual tie for North Carolina’s 16 electoral college votes.,polls,neutral
Nevada 2024 Trump-Harris Polls: Trump Up By 1 Point In Latest Survey—As Harris Struggles With Latinos,Nevada has voted for Democrats in every presidential election since 2008.,polls,neutral
"Bitcoin’s Trump Bump, Stripe Makes Big Crypto Play","Months after cofounder John Collison declared ""crypto is back,"" fintech unicorn Stripe is in talks to acquire startup Bridge, a provider of infrastructure for crypto stablecoins, five sources familiar with the discussions told Forbes. The price tag: $1 billio…",nt,neutral
Trump-Harris Early Voting Trends: GOP Cuts Into Democratic Advantage,Almost 13 million voters have cast their ballots so far.,polls,neutral
Harris Says Trump Is A Fascist In CNN Town Hall,Harris was speaking about Trump’s reported praise of Hitler and his desire to use the military to go after his political enemies.,oppositions,neutral
How Badly Will Trump Plan Reduce Your Social Security Benefits?,American are worried about how they can afford to live in retirement. Trump alludes to a Social Security plan  that could reduce by benefits by 1/3.,policy,negative
Billionaires Undercard -Cuban V Musk Outshine Trump/Harris Main Event,An interesting thing is happening in the US election this year: billionaires are no longer satisfied with quietly opening their wallets and supporting their go-to cand...,nt,neutral
Bitcoin Approaches All Time High. What Happens If Trump Wins?,A Trump presidency would embed bitcoin more deeply into the financial system. How would that affect its price?,policy,neutral
Envisioning The U.S. Job Market Under Trump Vs. Harris,This comparative analysis reveals what a Trump vs. Harris win could mean for American workers and U.S. job growth.,policy,positive
Donald Trump Movie ‘The Apprentice’ Gets Digital Streaming Date,“The Apprentice”—starring Sebastian Stan as Donald Trump and Jeremy Strong as Roy Cohn—is coming soon to digital streaming. Find out when and where you can watch it at home.,nt,neutral
Biden Proposes Free Birth Control Without A Prescription—But Trump Could Nix Rule,The proposed rule is subject to a 60-day public comment period.,policy,neutral
Best Stocks To Buy If Trump Or Harris Wins In 2024,"Whether Donald Trump or Kamala Harris emerges victorious, certain sectors and stocks are likely to benefit.",policy,positive
Nevada 2024 Trump-Harris Polls: Latest Survey Shows A Tie—As Harris Struggles With Latinos,Nevada has voted for Democrats in every presidential election since 2008.,polls,neutral
How Trump Made Billions By Not Selling His Truth Social Stock,Call it the art of no deal. Trump Media & Technology Group's biggest individual shareholder got richer by not cashing in his shares when his lock-up expired.,wellbeing,neutral
Donald Trump Would Hire CEOs His Age. Is Mandatory CEO Retirement Bad?,Former president Donald Trump stated he’d hire a CEO his age. This raises the question: Is the mandatory retirement age for CEOs still relevant today?,statements,neutral
Trump Hasn’t Spent A Dime Of His Own Money On His 2024 Campaign,"The campaign and political committees of billionaire presidential candidate Donald Trump have paid his businesses millions for air travel, lodging, catering and more.",wellbeing,neutral
"Election 2024 Swing State Polls: Trump Leads Harris In 4 States, Tie In Georgia (Updated)","While Harris has a slight lead nationally, there's no clear leader in the seven swing states likely to decide the election.",polls,neutral
New HarrisX/Forbes Poll: Trump Leads Harris By 2 Points—But 12% Are Still Deciding,Trump is up one point in a four-way race with third-party candidates on the ballot.,polls,neutral
Trump Vs. Harris 2024 Polls: Harris Leads By 1 Point In Two Latest Surveys,Most polls indicate a tight race between Donald Trump and Kamala Harris.,polls,neutral
Wisconsin 2024 Trump-Harris Polls: Harris Leads By 3 Points In Latest Survey,"Harris leads in four of seven swing states, according to Five Thirty Eight polling averages.",polls,neutral
